"text_description","kbli_code","kbli_label","kbji_code","kbji_label"
"karyawan panen buah kelapa sawit di kebun pt sampoerna agro.buah kelapa sawit.perkebunan kelapa sawit pt sampoerna agro.","01262","PERKEBUNAN BUAH KELAPA SAWIT","6112","PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK"
"mandor karyawan perawatan kebun kelapa sawit di pt sampoerna agro.buah kelapa sawit pt sampoerna agro.perkebunan kelapa sawit pt sampoerna agro.","01262","PERKEBUNAN BUAH KELAPA SAWIT","6112","PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK"
"karyawan perawatan (memupuk, menyemprot, menebas) kebun kelapa sawit di pt sampoerna agro.buah kelapa sawit.perkebunan kelapa sawit pt sampoerna agro.","01262","PERKEBUNAN BUAH KELAPA SAWIT","6112","PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK"
"pemilik warung kelontong menjual beras, minyak goreng, sabun, gula, dan kebutuhan /keperluan rumah tangga lainnya.beras, minyak goreng, sabun, gula, dan kebutuhan /keperluan rumah tangga lainnya.pedagang ecer.","47112","PERDAGANGAN ECERAN BERBAGAI MACAM BARANG YANG UTAMANYA MAKANAN, MINUMAN ATAU TEMBAKAU BUKAN DI MINIMARKET/SUPERMARKET/HYPERMARKET (TRADISIONAL)","5221","PEMILIK TOKO"
"membantu menjaga warung kelontong milik keluarga.beras, minyak goreng, sabun, gula, dan kebutuhan /keperluan rumah tangga lainnya.pedagang ecer.","47112","PERDAGANGAN ECERAN BERBAGAI MACAM BARANG YANG UTAMANYA MAKANAN, MINUMAN ATAU TEMBAKAU BUKAN DI MINIMARKET/SUPERMARKET/HYPERMARKET (TRADISIONAL)","5221","PEMILIK TOKO"
"anggota koperasi kompak maju bersama desa sukajaya.jasa penjaminan plasma kelapa sawit warga desa dengan pt bga.koperasi kompak maju bersama desa sukajaya.","01262","PERKEBUNAN BUAH KELAPA SAWIT","4419","JURU TATA USAHA YTDL"
"pedagang di kantin sekolah smpe 3 kotawaringin lama.makanan siap saji, minuman, jajan snack.mawung makan dan perdagangan ecer.","56103","KEDAI MAKANAN","5212","PEDAGANG MAKANAN KAKI LIMA"
"petani sayur di kebun milik sendiri.sayur sayuran hijau, kangkung, bayam.pertanian sayur sayuran di kebun milik sendiri.","01131","PERTANIAN HORTIKULTURA SAYURAN DAUN","6114","PEKERJA PERTANIAN TANAMAN CAMPURAN (TUMPANG SARI)"
"petani perkebunan kelapa sawit milik pribadi.kelapa sawit.perkebunan kelapa sawit pribadi.","01262","PERKEBUNAN BUAH KELAPA SAWIT","6112","PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK"
"admin di kantor perkebunan kelapa sawit pt sbe.buah kelapa sawit.perkebunan kelapa sawit pr sbe.","01262","PERKEBUNAN BUAH KELAPA SAWIT","4110","TENAGA PERKANTORAN UMUM"
"pemilik shorum motor.jasa penjualan sepeda motor bekas pakai.shorum motor.","45404","PERDAGANGAN ECERAN SEPEDA MOTOR BEKAS","5221","PEMILIK TOKO"
"pembuat dan penjual kerupuk.kerupuk matang.penyedia makanan ringan.","10794","INDUSTRI KERUPUK, KERIPIK, PEYEK DAN SEJENISNYA","5212","PEDAGANG MAKANAN KAKI LIMA"
"mandor panen buah kelapa sawit di pt sbe.buah kelapa sawit.perkebunan kelapa sawit.","01262","PERKEBUNAN BUAH KELAPA SAWIT","6112","PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK"
"karyawan perawatan kebun kelapa sawit pt bga.buah kelapa sawit.perkebunan kelapa sawit pt bga.","01262","PERKEBUNAN BUAH KELAPA SAWIT","6112","PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK"
"pemilik toko sembako/keperluan rumah tangga, sabun, beras dll.beras, perlengkapan mandi, minyak goreng dll.pedagang sembako eceran.","47249","PERDAGANGAN ECERAN MAKANAN LAINNYA","5221","PEMILIK TOKO"
"operator excavator milik orang.jasa operator excavator untuk pembukaan lahan perkebunan.penyewaan alat berat excavator.","55900","PENYEDIAAN AKOMODASI LAINNYA","8341","OPERATOR MESIN BERGERAK PERTANIAN DAN KEHUTANAN"
"mengajar di taman kanak kanak harapan pertiwi desa sukajaya.jasa pendidikan.taman kanak kanak harapan pertiwi desa sukajaya.","85133","PENDIDIKAN KELOMPOK BERMAIN","2342","GURU ANAK USIA DINI"
"petani kepala sawit dan petani sayur di kebun milik sendiri.kangkung, buncis, cabai, kelapa sawit.pertanian sayur dan perkebunan kelapa sawit milik pribadi.","01139","PERTANIAN SAYURAN, BUAH DAN ANEKA UMBI LAINNYA","6114","PEKERJA PERTANIAN TANAMAN CAMPURAN (TUMPANG SARI)"
"satpam di perkebunan kelapa sawit pt bga.jasa keamanan.perkebunan kelapa sawit pt bga.","01262","PERKEBUNAN BUAH KELAPA SAWIT","5414","PENJAGA KEAMANAN"
"kepala tk harapan pertiwi di desa sukajaya.jasa pendidikan.taman kanak kanak harapan pertiwi desa sukajaya.","85133","PENDIDIKAN KELOMPOK BERMAIN","2342","GURU ANAK USIA DINI"
"anggota tpk di koperasi kompak maju bersama desa sukajaya.pelaksana dalam membagikan bagi hasil dari plasma kebun sawit dari koperasi ke petani/ pemilik.koperasi.","01262","PERKEBUNAN BUAH KELAPA SAWIT","4311","JURU TATA USAHA AKUNTANSI DAN PEMBUKUAN"
"memelihara kelapa sawit milik sendiri.kelapa sawit.memelihara kelapa sawit milik sendiri.","01262","PERKEBUNAN BUAH KELAPA SAWIT","6112","PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK"
"memelihara kelapa sawit milik sendiri.kelapa sawit.memelihara kelapa sawit milik sendiri.","01262","PERKEBUNAN BUAH KELAPA SAWIT","6112","PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK"
"memelihara kebun sendiri.kelapa sawit.pemeliharaan kelapa sawit.","01262","PERKEBUNAN BUAH KELAPA SAWIT","6112","PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK"
"memelihara kelapa sawit sendiri.kelapa sawit.pemeliharaan kelapa sawit sendiri.","01262","PERKEBUNAN BUAH KELAPA SAWIT","6112","PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK"
"memelihara kelapa sawit milik orang lain.kelapa sawit.memelihara kelapa sawit milik orang lain.","01262","PERKEBUNAN BUAH KELAPA SAWIT","6112","PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK"
"pemeliharaan kelapa sawit orang.buah sawit.pemeliharaan kelapa sawit.","01262","PERKEBUNAN BUAH KELAPA SAWIT","6112","PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK"
"menjual sayur hasil tanaman sendiri.sayur-sayuran.menjual dan menanam sayur.","01139","PERTANIAN SAYURAN, BUAH DAN ANEKA UMBI LAINNYA","6114","PEKERJA PERTANIAN TANAMAN CAMPURAN (TUMPANG SARI)"
"pemeliharaan kelapa sawit orang (manen).kelapa sawit.pemeliharaan kelapa sawit (manen(.","01262","PERKEBUNAN BUAH KELAPA SAWIT","6112","PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK"
"pemeliharaan kelapa sawit (pemanen).kelapa sawit.pemeliharaan kelapa sawit.","01262","PERKEBUNAN BUAH KELAPA SAWIT","6112","PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK"
"pemanen kelapa sawit di perusahaan bga.kelapa sawit.pt bga.","01262","PERKEBUNAN BUAH KELAPA SAWIT","6112","PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK"
"memelihara kelapa sawit milik orang lain.kelapa sawit.memelihara kelapa sawit milik orang lain.","01262","PERKEBUNAN BUAH KELAPA SAWIT","6112","PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK"
"burug pembuatan bata merah.bata merah.pembuatan bata merah.","23921","INDUSTRI BATU BATA DARI TANAH LIAT/KERAMIK","9329","BURUH INDUSTRI PENGOLAHAN YTDL"
"operator alat berat di pt bga.operator alat berat.operator alat berat di pt bga.","01262","PERKEBUNAN BUAH KELAPA SAWIT","8341","OPERATOR MESIN BERGERAK PERTANIAN DAN KEHUTANAN"
"menjual makanan ringan.makanan ringan.penyediaan makanan ringan.","56103","KEDAI MAKANAN","5211","PEDAGANG DI KIOS DAN LOS PASAR"
"menangkap ikan sungai.penangkapan ikan (perikanan).penangkapan ikan di sungai (perikanan).","03142","JASA PRODUKSI PENANGKAPAN IKAN DI PERAIRAN DARAT","6222","PEKERJA PERIKANAN TANGKAP DI PERAIRAN UMUM DAN PESISIR"
"pemeliharaan kelapa sawit dan pensiunan asn.kelapa sawit.perkebunan kelapa sawit.","01262","PERKEBUNAN BUAH KELAPA SAWIT","6112","PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK"
"supir truck angkut sawit.buah sawit.pengangkutan.","01262","PERKEBUNAN BUAH KELAPA SAWIT","8332","PENGEMUDI TRUK BERAT DAN TRUK KONTAINER"
"supir truck pengangkutan sawit.buah sawit.pengangkutan.","01262","PERKEBUNAN BUAH KELAPA SAWIT","8332","PENGEMUDI TRUK BERAT DAN TRUK KONTAINER"
"menjual kue tradisional.kue tradisional.penjualan kue.","10792","INDUSTRI KUE BASAH","5212","PEDAGANG MAKANAN KAKI LIMA"
"memelihara kelapa sawit orang lain.kelapa sawit.memelihara kelapa sawit milik orang lain.","01262","PERKEBUNAN BUAH KELAPA SAWIT","6112","PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK"
"pembuat kue tradisional dan kerupuk gandum.menjual kue tradisional.usaha penyediaan makanan(kue tradisional).","10792","INDUSTRI KUE BASAH","5211","PEDAGANG DI KIOS DAN LOS PASAR"
"menjaga konservasi alam di danau masoraian.konservasi alam danau masoraian.danau masoraian.","91035","SUAKA MARGASATWA","5414","PENJAGA KEAMANAN"
"menjual makanan dan minuman di kantin sekolah.penyediaan makanan dan minuman.kantin sekolah.","56103","KEDAI MAKANAN","5212","PEDAGANG MAKANAN KAKI LIMA"
"peternak ayam kampung skala kecil.menjual ayam kampung dan telur ayam kampung.peternakan.","01464","BUDIDAYA AYAM LOKAL DAN PERSILANGANNYA","6122","PEKERJA PETERNAKAN UNGGAS"
"berdagang sayur-sayuran dan sembako.menjual sayur-sayuran dan sembako.warung.","47112","PERDAGANGAN ECERAN BERBAGAI MACAM BARANG YANG UTAMANYA MAKANAN, MINUMAN ATAU TEMBAKAU BUKAN DI MINIMARKET/SUPERMARKET/HYPERMARKET (TRADISIONAL)","5211","PEDAGANG DI KIOS DAN LOS PASAR"
"karyawan honorer di kantor kecamatan.karyawan honorer di kantor kecamatan.kantor kecamatan.","84112","PENYELENGGARAAN PEMERINTAH NEGARA DAN KESEKRETARIATAN NEGARA","4110","TENAGA PERKANTORAN UMUM"
"guru di taman belajar berkah.guru taman belajar.guru taman belajar.","85133","PENDIDIKAN KELOMPOK BERMAIN","2342","GURU ANAK USIA DINI"
"karyawan honorer satuan polisi pamong praja.jasa pemerintahan.satuan polisi pamong praja.","84119","KEGIATAN ADMINISTRASI PEMERINTAHAN LAINNYA","5419","TENAGA USAHA JASA PERLINDUNGAN YTDL"
"pegawai negeri sipil kebidanan di puskesmas.jasa pemerintahan.pns kebidanan.","86102","AKTIVITAS PUSKESMAS","2222","PROFESIONAL KEBIDANAN"
"mandor panen kelapa sawit di pt bga.kelapa sawit.perkebunan kelapa sawit.","01262","PERKEBUNAN BUAH KELAPA SAWIT","6112","PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK"
"merawat kebun kelapa sawit milik pribadi.buah kelapa sawit.perkebunan kelapa sawit.","01262","PERKEBUNAN BUAH KELAPA SAWIT","6112","PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK"
"ternak sapi milik sendiri.sapi.peternakan.","01411","PEMBIBITAN DAN BUDIDAYA SAPI POTONG","6130","PEKERJA CAMPURAN PERTANIAN DAN PETERNAKAN"
"mencangkul di kebun milik orang.sayur sayuran, kacang panjang.pertanian di kebun milik orang.","01131","PERTANIAN HORTIKULTURA SAYURAN DAUN","6114","PEKERJA PERTANIAN TANAMAN CAMPURAN (TUMPANG SARI)"
"karyawan perawatan (nyemprot, memupuk, menebas) di kebun kelapa sawit pt bga.buah kelapa sawit.perkebunan kelapa sawit milik pt bga.","01139","PERTANIAN SAYURAN, BUAH DAN ANEKA UMBI LAINNYA","6114","PEKERJA PERTANIAN TANAMAN CAMPURAN (TUMPANG SARI)"
"pemilik kebun kelapa sawit.kelapa sawit.perkebunan kelapa sawit milik pribadi.","01262","PERKEBUNAN BUAH KELAPA SAWIT","6112","PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK"
"peternak ayam pedaging/potong milik sendiri.daging ayam.peternakan ayam.","01461","BUDIDAYA AYAM RAS PEDAGING","6320","PETERNAK SUBSISTEN"
"membantu mengurus dan menjual ayam pedaging milik keluarga.daging ayam.peternakan ayam pedaging.","01461","BUDIDAYA AYAM RAS PEDAGING","6320","PETERNAK SUBSISTEN"
"pemilik warung angkringan.makanan dan minuman siap saji.pedagang kaki lima.","56103","KEDAI MAKANAN","5212","PEDAGANG MAKANAN KAKI LIMA"
"membantu menjaga warung angkringan milik keluarga.makanan dan minuman siap saji.warung makan.","56102","RUMAH/WARUNG MAKAN","5169","TENAGA USAHA JASA PERORANGAN YTDL"
"pemilik kebun kelapa sawit.buah kelapa sawit.perkebunan kelapa sawit.","01262","PERKEBUNAN BUAH KELAPA SAWIT","6112","PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK"
"pemilik toko kosmetik.alat dan barang kosmetik.toko kosmetik dan pernak pernik.","47844","PERDAGANGAN ECERAN KAKI LIMA DAN LOS PASAR KOSMETIK","5221","PEMILIK TOKO"
"kontraktor dan pemilik alat berat.jasa operator dan penyewaan alat berat.kontraktor.","43905","PENYEWAAN ALAT KONSTRUKSI DENGAN OPERATOR","8342","OPERATOR MESIN PENGERUK TANAH DAN YBDI"
"tukang bangunan.jasa konstruksi.konstruksi.","42919","KONSTRUKSI BANGUNAN SIPIL LAINNYA YTDL","9313","BURUH BANGUNAN"
"mengajar di tk melati dusun makarti jaya.jasa pendidikan.sekolah / taman kanak kanak.","85132","PENDIDIKAN TAMAN KANAK-KANAK SWASTA/RAUDATUL ATHFAL/BUSTANUL ATHFAL","2342","GURU ANAK USIA DINI"
"kepala sekolah sdn baru 1.jasa pemerintahan.pendidikan sekolah dasar.","85111","PENDIDIKAN DASAR/IBTIDAIYAH PEMERINTAH","1345","MANAJER PENDIDIKAN"
"petugas kesehatan medical check-up.jasa konsultan kesehatan.perusahaan konsultasi kesehatan.","86105","AKTIVITAS KLINIK SWASTA","3222","ASISTEN PROFESIONAL KEBIDANAN"
"sopir pick up angkut barang pindahan.jasa angkut barang.angkut barang.","49431","ANGKUTAN BERMOTOR UNTUK BARANG UMUM","8322","PENGEMUDI MOBIL, TAKSI DAN VAN"
"operator alat berat kobelco.jasa sewa alat berat.perusahaan alat berat kobelco pangkalan bun.","46593","PERDAGANGAN BESAR ALAT TRANSPORTASI DARAT (BUKAN MOBIL, SEPEDA MOTOR, DAN SEJENISNYA), SUKU CADANG DAN PERLENGKAPANNYA","8332","PENGEMUDI TRUK BERAT DAN TRUK KONTAINER"
"pemilik rental alat berat ramli.jasa sewa alat berat.penyedia alat berat.","77311","AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI ALAT TRANSPORTASI DARAT BUKAN KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH","5221","PEMILIK TOKO"
"warung jual jajanan anak-anak.jajanan makanan dan minuman.warung jajanan makan minum.","47242","PERDAGANGAN ECERAN ROTI, KUE KERING, SERTA KUE BASAH DAN SEJENISNYA","5221","PEMILIK TOKO"
"membantu orang tua menjaga warung jajanan anak-anak.jajanan makanan dan minuman anak-anak.warung jajanan pribadi.","47242","PERDAGANGAN ECERAN ROTI, KUE KERING, SERTA KUE BASAH DAN SEJENISNYA","5221","PEMILIK TOKO"
"menjaga warung sembako pribadi.jasa konsume.warung sembako milik sendiri.","47241","PERDAGANGAN ECERAN BERAS","5221","PEMILIK TOKO"
"kurir ekspedisi sicepat pangkalan bun.jasa ekspedisi barang.perusahaan logistik.","53201","AKTIVITAS KURIR","9621","KURIR, PENGANTAR PAKET DAN KULI ANGKUT BARANG"
"instruktur/pelatih gym.jasa kebugaran.persewaan alat kebugaran.","93116","FASILITAS PUSAT KEBUGARAN/ FITNESS CENTER","3422","PELATIH, INSTRUKTUR DAN KRU OLAHRAGA"
"pemilik bengkel dinamo sumarji.jasa perbaikan dinamo.bengkel dinamo milik sendiri.","45407","REPARASI DAN PERAWATAN SEPEDA MOTOR","7231","MEKANIK DAN TUKANG REPARASI KENDARAAN BERMOTOR"
"pemilik warung sate ayam daging misbar natai arahan.makanan dan minuman siap saji.warung makan milik sendiri.","56102","RUMAH/WARUNG MAKAN","5120","JURU MASAK"
"tenaga bidan bantu di rumah bersalin bidan liana.jasa persalinan dan melahirkan.rumah bersalin.","86105","AKTIVITAS KLINIK SWASTA","2222","PROFESIONAL KEBIDANAN"
"menjual sembako grosir keliling.jasa konsumen.grosiran sembako dengan modal pribadi.","47112","PERDAGANGAN ECERAN BERBAGAI MACAM BARANG YANG UTAMANYA MAKANAN, MINUMAN ATAU TEMBAKAU BUKAN DI MINIMARKET/SUPERMARKET/HYPERMARKET (TRADISIONAL)","5243","PEDAGANG RUMAH KE RUMAH"
"pemilik usaha ternak ayam potong.jasa ternak ayam ras (ayam potong).peternakan ayam potong milik sendiri.","01461","BUDIDAYA AYAM RAS PEDAGING","6122","PEKERJA PETERNAKAN UNGGAS"
"kepolisian daerah kab kotawaringin barat.jasa pemerintahan.polisi daerah kota pangkalan bun.","84231","KEPOLISIAN","0215","BINTARA POLRI"
"satpam perusahaan sawit citra borneo indah.jasa keamanan.perusahaan komersial sawit.","01262","PERKEBUNAN BUAH KELAPA SAWIT","9211","BURUH PERTANIAN"
"pengajar/guru di sdn 2 sumber agung (pns).jasa pendidikan.pendidikan (sekolah negeri).","85111","PENDIDIKAN DASAR/IBTIDAIYAH PEMERINTAH","2341","GURU SEKOLAH DASAR"
"pengajar/guru di sman 1 pangkalan bun (pns).jasa pendidikan.pendidikan (sekolah negeri).","85210","PENDIDIKAN MENENGAH ATAS/ALIYAH PEMERINTAH","2330","GURU PENDIDIKAN MENENGAH"
"mengajar/guru di sdn 1 mendawai (pns).jasa pendidikan.pendidikan (sekolah negeri).","85111","PENDIDIKAN DASAR/IBTIDAIYAH PEMERINTAH","2341","GURU SEKOLAH DASAR"
"mencari ikan di sungai.ikan sungai.perikanan (mencari ikan).","03121","PENANGKAPAN PISCES/IKAN BERSIRIP DI PERAIRAN DARAT","6340","NELAYAN, PEMBURU, PENANGKAP DAN PENGUMPUL SUBSISTEN"
"berjualan ikan yang ditangkap oleh suami (rachmadi).ikan sungai.perdagangan.","47215","PERDAGANGAN ECERAN HASIL PERIKANAN","5211","PEDAGANG DI KIOS DAN LOS PASAR"
"berjualan es teh solo didepan rumah.minuman (es teh).warung minumam.","56304","KEDAI MINUMAN","5212","PEDAGANG MAKANAN KAKI LIMA"
"photographer dan videographer di photo studio.jasa fotografi.fotografi.","74201","AKTIVITAS FOTOGRAFI","3431","FOTOGRAFER"
"membantu usaha siti nur shintya sebagai photographer.jasa fotografi.fotografi.","74201","AKTIVITAS FOTOGRAFI","3431","FOTOGRAFER"
"berjualan makanan ringan dan minuman di warung sekolah.makanan dan minuman (kerupuk basah, mie gelas, pop ice, dsb).perdagangan (warung makanan ringan).","56102","RUMAH/WARUNG MAKAN","5120","JURU MASAK"
"membuat makanan ringan dan berjualan makanan ringan di warung sekolah bersama lansani.makanan dan minuman (kerupuk basah, mie gelas, pop ice, dsb).perdagangan (warung makanan ringan).","56102","RUMAH/WARUNG MAKAN","5120","JURU MASAK"
"berjualan makanan (warung makan).makanan (soto, pecel, gorengan).warung makan.","56102","RUMAH/WARUNG MAKAN","5120","JURU MASAK"
"cleaning service (petugas kebersihan).jasa kebersihan.perusahaan sawit (cbi).","10437","INDUSTRI MINYAK GORENG KELAPA SAWIT","9129","TENAGA KEBERSIHAN LAINNYA"
"usaha photocopy, print, laminating rumahan.jasa photocopy dan print.usaha photocopy rumahan.","96990","AKTIVITAS JASA PERORANGAN LAINNYA YTDL","5221","PEMILIK TOKO"
"karyawan toko sembako.jasa karyawan.toko sembako.","47241","PERDAGANGAN ECERAN BERAS","5249","PEKERJA PENJUALAN YTDL"
"usaha pangkas rambut.jasa potong rambut.jasa potong rambut.","96990","AKTIVITAS JASA PERORANGAN LAINNYA YTDL","5141","PENATA RAMBUT"
"membuat dan menjual buket balon.buket balon.usaha perorangan (buket).","96990","AKTIVITAS JASA PERORANGAN LAINNYA YTDL","7319","PEMBUAT KERAJINAN YTDL"
"bekerja di angkringan.jasa pramusaji.warung makan.","56102","RUMAH/WARUNG MAKAN","5131","PRAMUSAJI"
"bekerja sebagai supir truk yang mengangkut alat berat.jasa angkutan alat berat (supir).usaha konstruksi perorangan (alat berat).","49432","ANGKUTAN BERMOTOR UNTUK BARANG KHUSUS","8332","PENGEMUDI TRUK BERAT DAN TRUK KONTAINER"
"pemilik salon (potong rambut dan perawatan rambut).jasa pangkas rambut.usaha salon potong rambut dan perawatan rambut.","96111","AKTIVITAS PANGKAS RAMBUT","5141","PENATA RAMBUT"
"guru sd kelas 4 sdn baru 3.jasa pemerintahan pendidikan.pendidikan.","85111","PENDIDIKAN DASAR/IBTIDAIYAH PEMERINTAH","2341","GURU SEKOLAH DASAR"
"tukang kayu beton.jasa pembuatan rumah tinggal.tukang bangunan konstruksi.","41011","KONSTRUKSI GEDUNG HUNIAN","7114","TUKANG BETON DAN YBDI"
"menjual kartu perdana pulsa indosat keliling.jasa konsumen telekomunikasi.distributor telekomunikasi.","61999","AKTIVITAS TELEKOMUNIKASI LAINNYA YTDL","5249","PEKERJA PENJUALAN YTDL"
"staff admin kantor notaris teguh.jasa konsultan notaris.notaris.","69104","AKTIVITAS NOTARIS DAN PEJABAT PEMBUAT AKTA TANAH","4221","TENAGA TATA USAHA PERJALANAN DAN KONSULTAN PERJALANAN"
"supir truck batu koral.jasa konstruksi.perusahaan konstruksi batu koral.","41013","KONSTRUKSI GEDUNG INDUSTRI","7113","PEMBELAH, PEMOTONG, PEMECAH, DAN PEMAHAT BATU"
"usaha pribadi kebun sawit.buah sawit.perkebunan sawit milik sendiri.","01262","PERKEBUNAN BUAH KELAPA SAWIT","6112","PEKERJA PERTANIAN TANAMAN TAHUNAN DAN TANAMAN SEMAK"
"jualan kelapa parut di pasar.jasa produksi olahan.perdagangan.","47812","PERDAGANGAN ECERAN KAKI LIMA DAN LOS PASAR KOMODITI BUAH-BUAHAN","5211","PEDAGANG DI KIOS DAN LOS PASAR"
"pramuniaga mesin fotocopy.jasa fotocopy.toko fotocopy.","82190","AKTIVITAS FOTOKOPI, PENYIAPAN DOKUMEN DAN AKTIVITAS KHUSUS PENUNJANG KANTOR LAINNYA","7322","PEKERJA PENCETAKAN"
"menjual nasi kuning nasi uduk dengan mobil pick-up pribadi.makanan dan minuman siap saji.warung makan milik sendiri.","56104","PENYEDIAAN MAKANAN KELILING/TEMPAT TIDAK TETAP","5212","PEDAGANG MAKANAN KAKI LIMA"
"membantu masak untuk jualan nasi kuning dan nasi uduk.makanan dan minuman siap saji.warung makan dari pick-up/mobil keliling.","56104","PENYEDIAAN MAKANAN KELILING/TEMPAT TIDAK TETAP","5212","PEDAGANG MAKANAN KAKI LIMA"
"membantu usaha orang tua, berjualan nasi kuning nasi uduk.makanan siap saji.warung makan dengan pick-up/mobil pribadi.","56104","PENYEDIAAN MAKANAN KELILING/TEMPAT TIDAK TETAP","5212","PEDAGANG MAKANAN KAKI LIMA"
"berjualan sembako keliling menggunakan mobil.jasa konsumen.jualan sembako keliling.","47992","PERDAGANGAN ECERAN KELILING KOMODITI MAKANAN, MINUMAN ATAU TEMBAKAU HASIL INDUSTRI PENGOLAHAN","5243","PEDAGANG RUMAH KE RUMAH"
"jualan sembako di rumah.jasa konsumen.warung sembako milik sendiri.","47241","PERDAGANGAN ECERAN BERAS","5221","PEMILIK TOKO"
